#Gene	Cell_type_lessEql_01
LAPTM4B	SCPs
RSL1D1	SCPs
FAM210B	SCPs
FAM133B	SCPs
IVD	SCPs
STOML2	SCPs
WASF2	SCPs
INSR	SCPs
PTK2	SCPs
RFXANK	SCPs
SYAP1	SCPs
ELAVL1	SCPs
HSPA1A	SCPs
TMEM245	SCPs
RBBP7	SCPs
SLC25A37	SCPs
FARP1	SCPs
NUCB1	SCPs
HMGB2	Cycling_chromaffin_cells
UBE2C	Cycling_chromaffin_cells
TOP2A	Cycling_chromaffin_cells
HMGB1	Cycling_chromaffin_cells
CENPF	Cycling_chromaffin_cells
TUBA1B	Cycling_chromaffin_cells
MAD2L1	Cycling_chromaffin_cells
MKI67	Cycling_chromaffin_cells
CKS1B	Cycling_chromaffin_cells
H2AFZ	Cycling_chromaffin_cells
NUSAP1	Cycling_chromaffin_cells
HMGN2	Cycling_chromaffin_cells
PTTG1	Cycling_chromaffin_cells
PRC1	Cycling_chromaffin_cells
TYMS	Cycling_chromaffin_cells
SMC4	Cycling_chromaffin_cells
CDK1	Cycling_chromaffin_cells
GTSE1	Cycling_chromaffin_cells
BIRC5	Cycling_chromaffin_cells
KIAA0101	Cycling_chromaffin_cells
STMN1	Cycling_chromaffin_cells
UBE2T	Cycling_chromaffin_cells
TPX2	Cycling_chromaffin_cells
CENPW	Cycling_chromaffin_cells
PBK	Cycling_chromaffin_cells
CDKN3	Cycling_chromaffin_cells
AURKB	Cycling_chromaffin_cells
NUF2	Cycling_chromaffin_cells
DTYMK	Cycling_chromaffin_cells
ASPM	Cycling_chromaffin_cells
FAM64A	Cycling_chromaffin_cells
DEK	Cycling_chromaffin_cells
CCNB2	Cycling_chromaffin_cells
RRM2	Cycling_chromaffin_cells
CCNA2	Cycling_chromaffin_cells
CDKN2D	Cycling_chromaffin_cells
TMSB15A	Cycling_chromaffin_cells
NUCKS1	Cycling_chromaffin_cells
HIST1H4C	Cycling_chromaffin_cells
MYBL2	Cycling_chromaffin_cells
ENDOG	Cycling_chromaffin_cells
ZWINT	Cycling_chromaffin_cells
TUBB4B	Cycling_chromaffin_cells
SPC25	Cycling_chromaffin_cells
CKS2	Cycling_chromaffin_cells
SMC2	Cycling_chromaffin_cells
FOXM1	Cycling_chromaffin_cells
CDC20	Cycling_chromaffin_cells
PKMYT1	Cycling_chromaffin_cells
TMPO	Cycling_chromaffin_cells
PCNA	Cycling_chromaffin_cells
DHFR	Cycling_chromaffin_cells
KIF22	Cycling_chromaffin_cells
CKAP2L	Cycling_chromaffin_cells
H2AFV	Cycling_chromaffin_cells
TUBB	Cycling_chromaffin_cells
CDCA8	Cycling_chromaffin_cells
CCNB1	Cycling_chromaffin_cells
HMGB3	Cycling_chromaffin_cells
ANP32E	Cycling_chromaffin_cells
TK1	Cycling_chromaffin_cells
PLK1	Cycling_chromaffin_cells
GINS2	Cycling_chromaffin_cells
RNASEH2A	Cycling_chromaffin_cells
TROAP	Cycling_chromaffin_cells
NDC80	Cycling_chromaffin_cells
ORC6	Cycling_chromaffin_cells
CENPH	Cycling_chromaffin_cells
DUT	Cycling_chromaffin_cells
CDCA3	Cycling_chromaffin_cells
MXD3	Cycling_chromaffin_cells
PTMA	Cycling_chromaffin_cells
KIF2C	Cycling_chromaffin_cells
UBE2S	Cycling_chromaffin_cells
SYNE2	Cycling_chromaffin_cells
SGOL2	Cycling_chromaffin_cells
CENPN	Cycling_chromaffin_cells
CDKN2C	Cycling_chromaffin_cells
CKAP2	Cycling_chromaffin_cells
KIF20B	Cycling_chromaffin_cells
KPNA2	Cycling_chromaffin_cells
ARL6IP1	Cycling_chromaffin_cells
SPC24	Cycling_chromaffin_cells
UHRF1	Cycling_chromaffin_cells
CLSPN	Cycling_chromaffin_cells
CENPA	Cycling_chromaffin_cells
ASF1B	Cycling_chromaffin_cells
DLGAP5	Cycling_chromaffin_cells
DEPDC1	Cycling_chromaffin_cells
CCDC34	Cycling_chromaffin_cells
RAD51AP1	Cycling_chromaffin_cells
CENPU	Cycling_chromaffin_cells
TACC3	Cycling_chromaffin_cells
KIFC1	Cycling_chromaffin_cells
RACGAP1	Cycling_chromaffin_cells
CDT1	Cycling_chromaffin_cells
CASC5	Cycling_chromaffin_cells
ARHGAP11A	Cycling_chromaffin_cells
RAD21	Cycling_chromaffin_cells
ATAD2	Cycling_chromaffin_cells
SGOL1	Cycling_chromaffin_cells
CENPM	Cycling_chromaffin_cells
KIF11	Cycling_chromaffin_cells
MZT1	Cycling_chromaffin_cells
E2F1	Cycling_chromaffin_cells
DLEU2	Cycling_chromaffin_cells
CENPE	Cycling_chromaffin_cells
CDCA5	Cycling_chromaffin_cells
KIF23	Cycling_chromaffin_cells
KIF4A	Cycling_chromaffin_cells
NEK2	Cycling_chromaffin_cells
DDX39A	Cycling_chromaffin_cells
KNSTRN	Cycling_chromaffin_cells
RMI2	Cycling_chromaffin_cells
LSM4	Cycling_chromaffin_cells
SOX11	Cycling_chromaffin_cells
NUDT1	Cycling_chromaffin_cells
LMNB1	Cycling_chromaffin_cells
NCAPG	Cycling_chromaffin_cells
