#hugo	sublist
RADIL	negative_c
IGF2BP1	negative_c
MIR4724	negative_c
DENND5B	negative_c
PCDHA4	negative_c
LOC285972	negative_c
ZNF624	negative_c
SCUBE1	negative_c
SEPT5-GP1BB	negative_c
LOC100129316	negative_c
OAZ2	negative_c
IPW	negative_c
CNTROB	negative_c
HCFC2	negative_c
OSBPL9	negative_c
SH3GLB1	negative_c
CDH3	negative_c
PELI1	negative_c
C2CD5	negative_c
FAM69A	negative_c
KLF5	negative_c
APLNR	negative_c
TAL2	negative_c
C4ORF33	negative_c
BTBD3	negative_c
APC2	negative_c
ZNF804A	negative_c
FLRT2	negative_c
BCL2	negative_c
CPNE9	negative_c
PCDHGB2	negative_c
C1QTNF2	negative_c
CLK1	negative_c
NDEL1	negative_c
PCDHGB1	negative_c
LRP1	negative_c
ZFHX3	negative_c
CD160	negative_c
CNR1	negative_c
FLJ39051	negative_c
CLEC18B	negative_c
SLC47A2	negative_c
HBG1	negative_c
PKI55	negative_c
PCDHAC1	negative_c
EIF2C4	negative_c
PCDHGB4	negative_c
ZNF512B	negative_c
PCDHGA9	negative_c
MSL1	negative_c
PCDHGB5	negative_c
CORO2A	negative_c
CPNE8	negative_c
SEPT5	negative_c
SOX4	negative_c
RERE	negative_c
SPRN	negative_c
ARHGAP26	negative_c
VAMP2	negative_c
CDH22	negative_c
FIGNL2	negative_c
STK31	negative_c
DKFZP434L187	negative_c
BACH2	negative_c
GRIA1	negative_c
EZH1	negative_c
ABCC3	negative_c
PVRL1	negative_c
C20ORF194	negative_c
RGS9	negative_c
PCDHGA4	negative_c
LRRC3B	negative_c
SIAH3	negative_c
CYFIP2	negative_c
ZFYVE20	negative_c
PCDHGB3	negative_c
PCDHGC4	negative_c
LOC100129427	negative_c
PCBP4	negative_c
ANXA2P2	negative_c
PCDHGA3	negative_c
SLC35E2B	negative_c
LOC100144602	negative_c
EPS8L1	negative_c
JAG2	negative_c
KIF1B	negative_c
PCDHGB7	negative_c
GOLGA6L10	negative_c
PCDHGA8	negative_c
MYO1B	negative_c
PCDHGA10	negative_c
ARHGAP22	negative_c
POLR2A	negative_c
FBXO42	negative_c
PLSCR3	negative_c
PCDHGA7	negative_c
VWDE	negative_c
ST8SIA2	negative_c
PCDHGC5	negative_c
TSHZ2	negative_c
GRID2	negative_c
PCDHGA6	negative_c
RAB11FIP4	negative_c
SEC63	negative_c
FYN	negative_c
CAMKK1	negative_c
PCDHGA2	negative_c
TTC28	negative_c
MGAT3	negative_c
KDM4B	negative_c
H1FNT	negative_c
ERC2	negative_c
TTC39C	negative_c
DENND6B	negative_c
C17ORF61-PLSCR3	negative_c
ATP8A1	negative_c
LOC283683	negative_c
STMND1	negative_c
PRPF8	negative_c
LOC100652999	negative_c
NICN1	negative_c
ABR	negative_c
WDFY2	negative_c
LOC100129060	negative_c
MIR568	negative_c
PIGZ	negative_c
PHF12	negative_c
SULT4A1	negative_c
LOC285878	negative_c
TMEM196	negative_c
TRA2A	negative_c
ZMIZ1	negative_c
RFPL1-AS1	negative_c
FRZB	negative_c
PCDHGA5	negative_c
CYB5R2	negative_c
SKIDA1	negative_c
KDM6B	negative_c
TRAF3IP2-AS1	negative_c
HECTD4	negative_c
KIF1A	negative_c
DPYSL3	negative_c
PCDHGA12	negative_c
ADRB2	negative_c
CADM4	negative_c
MAP3K2	negative_c
TOX2	negative_c
PCDHA3	negative_c
CDHR2	negative_c
STARD9	negative_c
LUST	negative_c
C22ORF23	negative_c
CACNA2D3	negative_c
PROM2	negative_c
PRPSAP2	negative_c
TTC28-AS1	negative_c
PCDHGA11	negative_c
ROBO1	negative_c
PHACTR4	negative_c
GLIS3-AS1	negative_c
R3HDM2	negative_c
FLJ11235	negative_c
AGPAT6	negative_c
GSTA4	negative_c
RAB5B	negative_c
MED24	negative_c
NIPA1	negative_c
COL21A1	negative_c
HYMAI	negative_c
MORN1	negative_c
DDX6	negative_c
MC4R	negative_c
ANXA2	negative_c
PP14571	negative_c
CTIF	negative_c
CAMTA1	negative_c
C3ORF35	negative_c
PPP6R2	negative_c
CACNA1B	negative_c
VANGL2	negative_c
PCDHAC2	negative_c
LOC283070	negative_c
FARP2	negative_c
CHRNA7	negative_c
RFFL	negative_c
PCDHGA1	negative_c
POU5F1P3	negative_c
ABCA7	negative_c
WSB1	negative_c
LOC653513	negative_c
MARCKS	negative_c
PEAR1	negative_c
ANKZF1	negative_c
ZDHHC11B	negative_c
KATNAL1	negative_c
GABRG1	negative_c
ADCY6	negative_c
ATP8B2	negative_c
UPP2	negative_c
URGCP	negative_c
TMEM86B	negative_c
DLG2	negative_c
ZNF83	negative_c
ST3GAL3	negative_c
IGLON5	negative_c
FLJ33360	negative_c
RSPH4A	negative_c
NBEAL2	negative_c
RUFY2	negative_c
CLEC4A	negative_c
RRP7B	negative_c
SIRPB2	negative_c
SUPT6H	negative_c
DAGLB	negative_c
ATG7	negative_c
TPM1	negative_c
NT5M	negative_c
PRND	negative_c
SF3B1	negative_c
QRICH2	negative_c
CYTH1	negative_c
MTSS1	negative_c
KIAA1683	negative_c
SNAP91	negative_c
PPP2R1B	negative_c
ADCY9	negative_c
SCN7A	negative_c
MAST2	negative_c
ARID1A	negative_c
FAM219A	negative_c
MIR4701	negative_c
CACNG3	negative_c
GRIK2	negative_c
SRSF11	negative_c
FAXC	negative_c
NRN1L	negative_c
CDON	negative_c
ZCCHC11	negative_c
RGPD8	negative_c
MIR3187	negative_c
FSCN1	negative_c
STK38	negative_c
PLCXD2	negative_c
HECW2	negative_c
KNDC1	negative_c
SLC43A3	negative_c
PRSS37	negative_c
