#hugo	exprssn_associated_to_larger_survival
ENOSF1	high
VKORC1	high
NDUFAB1	high
RNF168	high
ICT1	high
LSM2	high
LOC100506641	high
POLR2I	high
MRPL17	high
BRMS1	high
SPATA5	high
ASF1B	high
RPS15	high
EEF1E1	high
LOC100289092	high
MTCH2	high
TMLHE	high
PHF21B	high
TK1	high
C20ORF24	high
ZNF485	high
CHCHD1	high
TST	high
BUB3	high
C14ORF80	high
CYP27B1	high
H2AFY	high
HDGFRP2	high
MTX1	high
PSMB5	high
CDC45	high
SLC29A2	high
ARMC6	high
CXORF40B	high
SNRNP25	high
CENPW	high
GNL3L	high
CHAC2	high
PGK1	high
PPP1CC	high
DANCR	high
CCT2	high
RPS13	high
CNOT7	high
HAX1	high
TAF10	high
ANP32E	high
SKA3	high
OCIAD1	high
C16ORF88	high
CNOT10	high
RNF113A	high
SLIRP	high
CTU2	high
TIMM17A	high
GOT2	high
TMEM216	high
ZNF367	high
PDCD5	high
RPS2	high
TTF2	high
CKAP2	high
MTA2	high
FARSA	high
LONP1	high
LSM6	high
SRSF9	high
RPLP2	high
TOMM5	high
PCNXL4	high
GLRX3	high
TEX30	high
KIAA0020	high
CCDC59	high
TOMM40	high
RRP1	high
ZBTB33	high
KHSRP	high
EIF2S2	high
SSBP1	high
GSG2	high
BAG5	high
TRIM59	high
PTGER2	high
EMD	high
BRIP1	high
C4ORF21	high
RPS19	high
HDGF	high
MRPL1	high
RPLP0	high
URI1	high
ZNF876P	high
VARS	high
ARL2	high
SET	high
NDUFS8	high
MCMBP	high
TXLNG	high
POC1A	high
C16ORF59	high
NTHL1	high
DNAJC2	high
TIMELESS	high
ZNF443	high
SGOL1	high
HMGA1	high
DDX1	high
SUPT16H	high
DNTTIP1	high
FBXO45	high
PHGDH	high
NUDT1	high
PARL	high
TXNDC5	high
CYB5R4	high
CIRH1A	high
FDFT1	high
PSMA1	high
RABEPK	high
EIF4EBP1	high
WDR12	high
KIAA1524	high
PRIM1	high
SLC35A4	high
FKBP3	high
KNSTRN	high
COA6	high
CEBPG	high
HNRNPA1P10	high
PKN1	high
ZNHIT2	high
FAM104B	high
PGAM5	high
ZNF121	high
RSL1D1	high
PDF	high
SPATA5L1	high
BRCA2	high
COX6B1	high
PSMG2	high
CCNB3	high
FAM120AOS	high
LSM3	high
WDHD1	high
GPT2	high
SNHG16	high
THOC3	high
TIMM23	high
TAPT1-AS1	high
NOC3L	high
MIR4745	high
CDCA3	high
KARS	high
EEF1B2	high
TIMM17B	high
TRMT6	high
TXNL4A	high
MANF	high
CRNDE	high
MRPL30	high
PRMT1	high
DNAJC9	high
ZNF511	high
ZNF492	high
RAD51AP1	high
ASPDH	high
IGF2BP3	high
FUNDC2P2	high
ATG4D	high
TFB2M	high
RPL39	high
COQ2	high
CITED1	high
ATR	high
C19ORF52	high
FIP1L1	high
RARS	high
PNO1	high
SMARCA5	high
PRTFDC1	high
MKI67IP	high
PAK4	high
RPS4X	high
CHTF8	high
FBXO43	high
FAM111B	high
RPUSD2	high
SART1	high
NETO2	high
DHODH	high
COX5A	high
CDC25C	high
NUBP2	high
LIG1	high
NDUFAF4P1	high
THOP1	high
U2AF1	high
SRPK1	high
NDUFA7	high
ZNF330	high
C17ORF89	high
ZNF93	high
HRSP12	high
GSPT1	high
METAP2	high
MRGBP	high
FRG1	high
UPF3B	high
DSN1	high
XKR5	high
FKBP4	high
ZNF584	high
MCM5	high
BOD1	high
DAD1	high
DIAPH3	high
RPS16	high
GTF3C3	high
RRP36	high
WDYHV1	high
NTS	high
ELP4	high
KLF16	high
NUP62	high
ALKBH2	high
TMSB15A	high
FBXO46	high
MYH13	high
OTX2-AS1	high
EIF2S3	high
MDK	high
SLC6A11	high
SLC38A5	high
GTF2F1	high
MAP2K2	high
RBMXL1	high
GLA	high
RPL36AL	high
LOC100505920	high
POLR3D	high
DARS2	high
RPLP1	high
TMEM258	high
CAPRIN1	high
TAF7	high
ALOX12B	high
AGBL5	high
XRCC3	high
MRPL34	high
TBL1X	high
CBR1	high
DYRK3	high
RPGRIP1L	high
NCAN	high
NDUFS7	high
RPL36	high
BLOC1S5-TXNDC5	high
CDC6	high
RACGAP1	high
CPSF2	high
HAUS1	high
KIF15	high
DDX10	high
MSH6	high
RRP15	high
LOC286467	high
PHB2	high
MIR3654	high
CCDC85C	high
SIX2	high
KEAP1	high
SLC39A11	high
ZDHHC23	high
CCDC51	high
CDCA7L	high
PANK1	high
RRM2	high
MRPS27	high
MYCNOS	high
TMEM251	high
POLR1B	high
TMSB15B	high
UCK2	high
TIMM9	high
SMARCA5-AS1	high
LAPTM4B	high
ANP32AP1	high
SLC25A15	high
KIAA0391	high
BSG	high
TRNT1	high
AFF2	high
CKB	high
CENPM	high
PSMA4	high
C19ORF43	high
ZNF480	high
DDX28	high
NOL8	high
RPL27A	high
ZBED5	high
ATP6V1B1	high
C1ORF131	high
LINC00263	high
XRN2	high
MYCN	high
OR1Q1	high
FADD	high
IQGAP3	high
CCNB1IP1	high
NUSAP1	high
UBE2D3	high
C1ORF61	high
KRI1	high
KIAA0922	high
WDR72	high
CKAP5	high
CLNS1A	high
SF3B4	high
FAM189B	high
PRR11	high
MRPL14	high
SMARCC1	high
CRISP2	high
MKRN2	high
BRCA1	high
LOC729020	high
QPRT	high
GTF2F2	high
GTPBP8	high
FOXM1	high
PUS1	high
WDR76	high
TARS	high
TOP1MT	high
ANP32A	high
PSME4	high
PCGF6	high
BRI3BP	high
MORF4L2	high
NPW	high
TMPO-AS1	high
PRKRIR	high
YY1	high
RBM38	high
CMC2	high
RFT1	high
BOD1L2	high
KIF20B	high
FOPNL	high
PSMD6	high
ZNF787	high
SEC13	high
POLR2C	high
TIMMDC1	high
COQ9	high
VAX2	high
PA2G4	high
GEMIN6	high
G2E3	high
AIMP2	high
OIP5	high
CDCA7	high
TBCCD1	high
UBE2R2	high
CEP72	high
TGIF2	high
OTX2	high
LHFPL3	high
NRGN	high
COX16	high
SARS2	high
EEF1D	high
ROMO1	high
DUT	high
COPB2	high
TFG	high
PHACTR3	high
CABLES1	high
NDUFA8	high
ZWINT	high
H1FX	high
MIR17HG	high
CRLS1	high
NSMCE4A	high
RNASEH2B	high
DNAH11	high
C14ORF119	high
CLPTM1L	high
TSEN54	high
ELOF1	high
MRPL36	high
LOC100507424	high
TTK	high
CHML	high
CCNJ	high
SIGMAR1	high
PIF1	high
MASTL	high
KPNB1	high
MCM4	high
ZNF826P	high
RPL10	high
RFC5	high
RPS3A	high
CENPL	high
SSNA1	high
TUFM	high
KIFC1	high
RPP25L	high
HNRNPUL1	high
NME4	high
EBPL	high
TMEM177	high
CDC20	high
CKLF	high
TRAIP	high
RPS21	high
EEF1G	high
ATP5G2	high
PDS5A	high
HMX2	high
UQCRQ	high
RBMX2	high
TSEN34	high
FOXN3-AS1	high
RPL7A	high
LOC100506465	high
AURKB	high
EME1	high
PDZD11	high
TMEM147	high
ATAD2	high
NOP16	high
WDR77	high
PDCD7	high
PDK1	high
CSNK2A2	high
GEN1	high
PRDX3	high
XRCC6	high
RPL18	high
LSM12	high
PMM2	high
SCRT2	high
CCDC42B	high
ACTRT3	high
THG1L	high
TCF15	high
POLR2B	high
CKS1B	high
CCDC137	high
ASS1	high
PPP2R5E	high
ZNF695	high
TMEM161A	high
ZNF473	high
SEC61A1	high
ABCC1	high
DNAJA2	high
MPG	high
BAX	high
C2ORF44	high
CCNF	high
F12	high
NEDD8-MDP1	high
TPR	high
RAD50	high
RBBP5	high
NDUFB10	high
IMP3	high
RPN1	high
LINC00221	high
LINC00493	high
DAK	high
NUP98	high
HAPLN4	high
ZNF239	high
IPO5	high
TIMM23B	high
IPO7	high
KIF22	high
FBXW9	high
CHD1L	high
C14ORF2	high
SFXN2	high
DNAJB11	high
ARHGAP19-SLIT1	high
HNRNPA1	high
EEF2	high
CDC25A	high
COMMD4	high
MPLKIP	high
MDH2	high
CHIC2	high
PPP1CA	high
ESPL1	high
RPL38	high
LOC100506303	high
HIST1H2BK	high
ZNF598	high
METTL5	high
RFWD2	high
ISOC2	high
PDCL3	high
METTL18	high
ATP5B	high
VPS25	high
FAM53A	high
ZNF567	high
C17ORF82	high
NCBP2	high
TSKU	high
RPS11	high
GTSE1	high
DESI2	high
MRPL18	high
MBD4	high
DHX37	high
RPS17L	high
RPS17	high
MRPL50	high
RPS3	high
ZNF829	high
TSSC4	high
MAPRE1	high
SERP1	high
PPM1G	high
C2ORF43	high
DLL3	high
RPL13AP5	high
ATRAID	high
SMNDC1	high
SMIM11	high
APRT	high
DDR2	high
USP39	high
SLC25A53	high
SF3B14	high
HIST1H1C	high
RPL41	high
NUDT11	high
LBR	high
KRTCAP2	high
TCP1	high
ZNF724P	high
USP44	high
LOC400706	high
MINPP1	high
ZNF146	high
ZNF792	high
TECR	high
GOLIM4	high
GGH	high
POLR1C	high
CCDC150	high
VMA21	high
MRPL42	high
C14ORF1	high
EIF3K	high
PPIA	high
UTP15	high
SDCCAG3	high
NCLN	high
DDX49	high
LOC100652902	high
NDUFS6	high
H2AFY2	high
ANAPC15	high
TCEAL8	high
SEC31A	high
CCDC73	high
POLQ	high
ESRP2	high
HRH3	high
OST4	high
ZNF257	high
ZNF732	high
TKTL2	high
C11ORF31	high
LOC650368	high
IARS2	high
PDCD2	high
DNAH3	high
NUDT10	high
CHCHD6	high
ANP32C	high
KPNA2	high
FAM64A	high
MRPS22	high
SLCO4A1	high
SYT14	high
MRPL54	high
DNAJA3	high
GTPBP4	high
RPS5	high
LTV1	high
PCOLCE	high
POLR3E	high
SNORD88C	high
ZNF670-ZNF695	high
ADM5	high
IGSF9	high
C14ORF93	high
POFUT1	high
TRUB2	high
GCDH	high
NKAP	high
GSTP1	high
ATF5	high
