#hugo	exprssn_associated_to_larger_survival
MIR517B	high
MIR517A	high
MIR516B2	high
MIR516B1	high
MIR516A2	high
OR5B3	high
MIR516A1	high
MIR889	high
MIR515-2	high
MIR515-1	high
MIR514B	high
MIR514A3	high
MIR514A2	high
MIR514A1	high
MIR513C	high
MIR513B	high
MIR513A2	high
MIR513A1	high
MIR512-2	high
MIR512-1	high
MIR510	high
MIR5095	high
MIR1827	high
MIR509-3	high
MIR509-2	high
MIR509-1	high
CTPS2	high
MIR508	high
MIR507	high
MIR506	high
MIR502	high
MIR501	high
IRX4	high
MIR500B	high
GIMD1	high
MIR500A	high
PRAMEF7	high
MIR498	high
MIR489	high
MIR488	high
MIR4798	high
MIR4792	high
MIR4790	high
MIR4780	high
MIR4776-2	high
LOC440173	high
MIR4776-1	high
LOC147093	high
MIR4770	high
MIR4760	high
MIR4757	high
MIR4756	high
MIR4713	high
MIR4708	high
MIR4704	high
MIR4699	high
MIR4694	high
SNHG4	high
MIR4662B	high
MIR4662A	high
MIR4643	high
MIR4540	high
MIR4527	high
MIR3929	high
MIR4509-3	high
MIR4509-2	high
MIR4509-1	high
MIR4503	high
MIR4501	high
MIR449B	high
LUZP4	high
MIR449A	high
MIR4495	high
MIR4494	high
HOXC12	high
MIR4490	high
MIR4486	high
MIR448	high
MIR3938	high
MIR4476	high
MIR101-2	high
MIR4475	high
MIR4460	high
MIR4457	high
MIR4456	high
MIR4455	high
ACPL2	high
MIR4454	high
MIR4450	high
FAM47C	high
MIR4447	high
MIR4446	high
PRPF3	high
MIR4445	high
FAF1	high
MIR4443	high
MIR4438	high
MIR4437	high
MIR4432	high
MIR4430	high
MIR4433	high
MIR4423	high
MIR4330	high
MIR4328	high
MIR4327	high
MIR4325	high
MIR4320	high
MIR4307	high
MIR4303	high
MIR144	high
KPRP	high
C21ORF37	high
MIR4302	high
WFDC6	high
MIR4300	high
MIR4293	high
MIR4291	high
MIR4290	high
MIR4289	high
MIR4277	high
MIR4276	high
TOMM70A	high
MIR4275	high
MIR4268	high
MIR4267	high
MIR4252	high
MIR422A	high
MIR3976	high
MIR3974	high
MIR3972	high
MIR3937	high
MIR758	high
MIR3927	high
MIR3924	high
MIR3921	high
MIR3920	high
MIR139	high
MIR3914-2	high
MIR3914-1	high
MIR3910-2	high
MIR3910-1	high
MIR384	high
MIR383	high
MIR381	high
MIR378C	high
MIR370	high
MIR3689D1	high
MIR3686	high
MIR3683	high
MIR3680-1	high
MIR3672	high
MIR3646	high
LRRC20	high
MIR362	high
MIR34B	high
MIR323A	high
MIR320D2	high
MIR3201	high
MIR3169	high
MIR3156-3	high
MIR3156-2	high
MIR3156-1	high
MIR3152	high
ECHDC1	high
MIR3148	high
USP17L6P	high
MIR3142	high
HYLS1	high
MIR3135B	high
MIR3121	high
MIR3119-2	high
MIR3119-1	high
MIR3118-6	high
MIR31	high
MIR30E	high
MIR30D	high
MIR30C1	high
MIR30B	high
MIR30A	high
MIR302F	high
MIR297	high
MIR2392	high
MIR217	high
MIR216B	high
MIR216A	high
MIR2113	high
MIR20B	high
MIR208A	high
MIR206	high
MIR2054	high
LOC100507065	high
MIR2053	high
MIR205	high
MIR204	high
MIR200C	high
MIR19B2	high
MIR19A	high
MIR1912	high
MIR190A	high
MIR18B	high
MIR188	high
MIR187	high
MIR184	high
MIR183	high
MIR182	high
MIR181A1	high
MIR1471	high
MIR141	high
MIR1323	high
MIR1302-6	high
MIR1302-4	high
MIR1302-1	high
MIR1297	high
MIR1283-2	high
MIR1283-1	high
MIR1277	high
MIR1266	high
MIR1264	high
MIR1263	high
MIR1262	high
MIR1258	high
OR2W5	high
MIR1255B1	high
MIR4474	high
MIR1254-2	high
MIR124-3	high
MIR105-1	high
MIR100	high
MIR1-1	high
LOC730159	high
LOC728290	high
LOC441035	high
LOC284788	high
LOC199897	high
LOC100653068	high
LOC100653067	high
LOC100653052	high
LOC100509861	high
LOC100509541	high
LOC100509240	high
LOC100507918	high
LOC100507652	high
LOC100507562	high
LOC100507464	high
LOC100507362	high
LOC100507277	high
LOC100507201	high
MIR452	high
LOC100506861	high
LOC100506489	high
FLJ16171	high
LOC100506470	high
MIR1322	high
LOC100506406	high
LOC100506236	high
FLJ41200	high
LOC100506101	high
MIR4696	high
LOC100506004	high
LINC00445	high
LOC100505986	high
LOC100505985	high
LOC100505973	high
LOC100505862	high
MIR4470	high
LOC100505784	high
LOC100505609	high
LOC100505515	high
LOC100289308	high
LOC100289079	high
LOC100169752	high
LOC100128356	high
LINC00687	high
LINC00615	high
LINC00317	high
LINC00307	high
LINC00293	high
LINC00111	high
LCE6A	high
LCE4A	high
LCE3E	high
LCE3D	high
LCE3C	high
ACAT2	high
DHX40	high
LCE2B	high
LCE2A	high
KRTAP9-6	high
KRTAP9-4	high
KRTAP8-1	high
KRTAP6-1	high
KRTAP27-1	high
KRTAP25-1	high
KRTAP23-1	high
KRTAP21-3	high
KRTAP20-3	high
KRTAP20-1	high
KRTAP19-7	high
KRTAP19-4	high
KRTAP19-2	high
KRTAP15-1	high
KRTAP12-2	high
KRTAP10-9	high
KRTAP10-11	high
IL1F10	high
IFNA8	high
AKT1S1	high
IFNA2	high
COBRA1	high
HYALP1	high
HSFY1P1	high
GSTA5	high
GLYCAM1	high
FLJ44838	high
MIR548U	high
FLJ43763	high
FLJ32154	high
FLJ22763	high
DKFZP686K1684	high
DEFB4B	high
DEFB129	high
DEFB128	high
DEFB121	high
DEFB119	high
DEFB116	high
DEFB115	high
DEFB114	high
DEFB113	high
DEFB112	high
DEFB110	high
HELT	high
DEFB106B	high
DEFB106A	high
RPS27	high
CRCT1	high
CPXCR1	high
CEACAM18	high
CHEK2P2	high
CDY2B	high
CDY2A	high
CDX4	high
MIR548D2	high
C1ORF68	high
MIR548AA2	high
C16ORF97	high
BSPH1	high
BPIFA4P	high
ACTRT2	high
SNORA80	high
MAEA	high
UGT2A2	high
PER4	high
CEP70	high
LOC100506300	high
PLSCR5	high
PRAMEF6	high
LOC340107	high
S100A7A	high
CSN1S2AP	high
REC8	high
BEX1	high
MIR3611	high
FAM197Y1	high
LOC649133	high
LOC100507548	high
C19ORF24	high
MIR4429	high
SLC7A13	high
RPL19P12	high
LOC100652953	high
HIST1H2AD	high
RPS23	high
OR52D1	high
PRR23B	high
BTF3P11	high
SPP2	high
MIR1272	high
TACO1	high
ZHX1	high
KRTAP21-2	high
MIR4309	high
KRTAP10-5	high
CACTIN	high
MRPS10	high
SUN5	high
TMUB1	high
C6ORF195	high
FXN	high
TMEM104	high
MIR4448	high
MIR875	high
MIR654	high
CSNK2A1P	high
COCH	high
MIR4774	high
PI4K2A	high
MIR548Y	high
OR51I2	high
FAM197Y3	high
LOC729609	high
MALSU1	high
BHLHE23	high
HARBI1	high
IL17F	high
OR14A16	high
MIR3163	high
MIR378F	high
DEFB105B	high
DEFB105A	high
DYNAP	high
CCDC105	high
MIR4535	high
MIR125B1	high
SNRPC	high
MYLK2	high
PRR9	high
VSTM2B	high
PTPMT1	high
WDR67	high
ZNF687	high
DSG4	high
ACTBL2	high
OR2D3	high
LOC100505890	high
C10ORF120	high
MIR4318	high
MTX3	high
CORO1B	high
LOC100506405	high
CDK7	high
KRTAP10-6	high
OR4Q3	high
LOC100509247	high
IFNA16	high
TEX13B	high
MIR1243	high
SNORD96B	high
MIR548F3	high
KLK9	high
SLCO1B7	high
MIR4478	high
MSRB1	high
MIR3692	high
SIRT6	high
CLDN25	high
BPY2C	high
BPY2B	high
BPY2	high
MIR4764	high
LOC728026	high
LINC00202-2	high
MIR299	high
OR2J3	high
USP17L9P	high
MIR4536-1	high
SDR16C5	high
C1ORF158	high
OR1G1	high
PSG2	high
MIR4451	high
SLC25A48	high
SNORD111B	high
DPY19L2P4	high
FEZF1	high
OR2T5	high
IQCF2	high
MIR1255B2	high
KRTAP24-1	high
TOB1-AS1	high
OR5P2	high
MKS1	high
LOC100505651	high
GPRC6A	high
MIR376A1	high
LOC729164	high
LOC100134423	high
UBXN8	high
DNAJC14	high
ZNF132	high
HECTD1	high
MIR1205	high
CT47A7	high
LOC100507312	high
ZNF587B	high
GSC	high
DEFB127	high
POLR2G	high
PRR23C	high
KCNJ11	high
MIXL1	high
SNHG8	high
MIR3175	high
CEBPA-AS1	high
MIR3915	high
NLRP10	high
SNAR-A2	high
SNAR-A1	high
NDUFAF2	high
RBMY2FP	high
LOC100652856	high
LOC401557	high
OR2T3	high
OR4C13	high
MIR4279	high
OR2T10	high
CXORF27	high
IGFL3	high
SNORD115-1	high
OR52B4	high
SNORD115-28	high
MIR363	high
KRTAP9-8	high
KRTAP9-3	high
RNASE11	high
MIR375	high
C7ORF66	high
MIR1193	high
LOC442459	high
OR6C74	high
OR4D5	high
APCS	high
FTSJ2	high
USP17L10	high
OR12D2	high
MIR626	high
MIR4752	high
LOC100506630	high
LOC100292922	high
LCE3A	high
OR2W1	high
TTTY8B	high
TTTY8	high
MAGEB6	high
TTTY21B	high
TTTY21	high
TTTY17C	high
TEX19	high
TTTY17B	high
TTTY17A	high
SPRR2A	high
SPRR1B	high
SCGB2A2	high
SPINT3	high
MIR545	high
SPANXN2	high
LOC100652954	high
BIRC8	high
SNORD115-30	high
AA06	high
SERPINA13P	high
SDC4P	high
S100A7L2	high
REG3A	high
REG1B	high
PTH	high
CHAMP1	high
PRR21	high
HOXA13	high
ADAMTS20	high
OR7A10	high
OR6C75	high
OR6C1	high
OR5T2	high
OR5R1	high
OR5K3	high
OR5H1	high
OR5F1	high
OR5D16	high
OR5AR1	high
OR5AC2	high
OR51F2	high
OR51A7	high
OR4N5	high
SLC19A1	high
OR4F13P	high
OR4D9	high
OR2Y1	high
STT3A	high
OR2G3	high
OR2G2	high
OR1M1	high
OR1I1	high
OR13C8	high
OR10W1	high
NPS	high
NEU2	high
MT1B	high
MS4A5	high
MIR944	high
MIR892B	high
MIR876	high
MIR874	high
MIR668	high
MIR651	high
MIR640	high
OR1A1	high
MIR620	high
KRTAP22-1	high
MIR586	high
LOC100652871	high
MIR583	high
MIR562	high
MAGEA11	high
HSPA8	high
MIR548X2	high
DEFB132	high
MIR548F1	high
MIR520H	high
MIR520C	high
MIR518D	high
MIR504	high
MIR487B	high
MIR4796	high
CT45A3	high
ZCCHC13	high
MIR4794	high
SPRR2C	high
MIR4791	high
SNAR-G2	high
MIR4789	high
OR51F1	high
MIR4788	high
MIR449C	high
MIR4719	high
MIR4452	high
MIR4711	high
LOC338579	high
LOC100509686	high
MIR4675	high
DEFB131	high
MIR4661	high
MIR4654	high
MIR4636	high
MIR4532	high
MIR4491	high
MIR4472-2	high
MIR4471	high
MIR4463	high
MIR4427	high
MIR4425	high
MIR4299	high
MIR4272	high
OR2V2	high
TMEM158	high
MIR4264	high
MIR3713	high
MIR3688-2	high
MIR1273A	high
MIR3688-1	high
MIR3681	high
MIR3666	high
MIR3663	high
MIR365B	high
MIR3591	high
MIR329-2	high
RBM14	high
MIR320B1	high
MIR3182	high
MIR3167	high
PSMG4	high
MIR3144	high
MIR3141	high
MIR3116-2	high
MIR3116-1	high
MIR190B	high
MIR16-2	high
MIR15B	high
VASN	high
MIR1-2	high
MIR1289-2	high
MIR122	high
CHCHD4	high
MIR1197	high
MIR1185-1	high
MIR107	high
SMCP	high
MIR106A	high
MIR4266	high
MBD3L1	high
MIR3978	high
LOC441025	high
LELP1	high
LOC340094	high
LOC100507389	high
LOC100506891	high
LOC100505913	high
LOC100505711	high
MRPS21	high
LOC100270679	high
LOC100133267	high
LCE3B	high
LCE2D	high
LACRT	high
KRTAP6-2	high
KRTAP4-4	high
TAF5	high
TELO2	high
KRTAP12-3	high
KRTAP12-1	high
IFNA1	high
HIST1H2APS1	high
FAM71B	high
DEFB4A	high
DEFB130	high
MIR4481	high
CXORF66	high
CLDN17	high
CDY1B	high
CDY1	high
CALML5	high
BPIFB6	high
AMELY	high
MIR495	high
DCTN5	high
FNTA	high
PVR	high
LOC100287010	high
TP53RK	high
LOC100499194	high
TLX1NB	high
FGA	high
LINC00523	high
GLYATL1	high
MIR153-2	high
NARS2	high
MIR376A2	high
LINC00160	high
INO80C	high
MIR3196	high
MIR9-3	high
FLJ30375	high
SEMG1	high
OR52K1	high
PRAMEF25	high
MIR4480	high
MIR1268A	high
DIRC2	high
ACOT2	high
PAPOLA	high
SMN2	high
ME2	high
ADAMTS3	high
MIR584	high
POTEB	high
LOC730441	high
OR13H1	high
TLX2	high
OR6T1	high
PARP16	high
TMEM132A	high
LOC255025	high
UCA1	high
LOC100509542	high
PFDN6	high
XAGE2B	high
MIR195	high
MAGEB10	high
FLJ25363	high
MIR4422	high
UGT2A3	high
EFS	high
MIR378E	high
LOC100506107	high
KIF7	high
ACSBG2	high
MIR4473	high
MIR4747	high
MIR101-1	high
MIR1244-3	high
MIR1244-2	high
NOP2	high
MIR1244-1	high
SPANXF1	high
SPANXB2	high
NOP9	high
CDC7	high
OR10T2	high
TOP1	high
C11ORF39	high
PHKA1-AS1	high
SETMAR	high
CWC27	high
RAP2C	high
RPS18	high
TRIM51HP	high
LOC100134240	high
PLGRKT	high
OR13G1	high
C3ORF79	high
SNORD105B	high
PTPN5	high
SLC22A8	high
SNORD115-27	high
KCNU1	high
HUWE1	high
SCML1	high
CXORF51B	high
CXORF51A	high
TMPRSS11BNL	high
CT47B1	high
CCDC43	high
LOC441956	high
TCEB1	high
FAM197Y8	high
PRAMEF24	high
C7ORF33	high
VTRNA2-1	high
GRXCR1	high
SLC7A6OS	high
USP17L13	high
GALNTL5	high
PDILT	high
BPIFA1	high
CLEC2D	high
TIGD3	high
PRAMEF12	high
TMEM174	high
TRIM48	high
SNX7	high
MCU	high
OR8D1	high
OR8B3	high
MT4	high
GC	high
FLJ45831	high
EXOC5	high
NDUFAF3	high
GAK	high
ZNF20	high
MED26	high
MIR98	high
SPAM1	high
SPANXN3	high
SERTAD4	high
MIR105-2	high
LOC100128482	high
ATP5L2	high
LOC100133995	high
EXOSC6	high
LINC00273	high
GSX2	high
PLIN5	high
LINC00583	high
C15ORF43	high
MIR592	high
OR4F15	high
MIR4484	high
NACA2	high
BORA	high
MIR4304	high
MIR3161	high
U2SURP	high
LOC645355	high
MIR26B	high
LOC729461	high
MIR3678	high
PDX1	high
RPS10-NUDT3	high
MIR4716	high
LOC100506053	high
RHBG	high
LOC284632	high
MIR34C	high
MIR572	high
NDUFA13	high
SP8	high
LOC146481	high
CT45A1	high
GPX1	high
FDPS	high
MIR655	high
SNORD114-16	high
ISCA2	high
CENPQ	high
ABT1	high
LOC100505912	high
SPATA16	high
LINC00254	high
MIR4725	high
SNORA56	high
TRIML1	high
COPS7B	high
COX4I1	high
LOC100505735	high
RBM12B	high
MIR300	high
TMPRSS11GP	high
KRTAP19-1	high
TIMM10B	high
HDAC8	high
PLA2G2C	high
GAGE2A	high
CXORF40A	high
OR2B2	high
HN1L	high
OR6Y1	high
LOC100506923	high
C14ORF177	high
MIR4311	high
FSHB	high
ESYT3	high
MIR3617	high
MIR1343	high
LHFPL3-AS1	high
KIF2B	high
HIST1H2AI	high
GSX1	high
FGF4	high
PRKX	high
FLNC	high
PI4K2B	high
MIR4329	high
MIR134	high
BHLHA9	high
HIST2H2AC	high
MIR342	high
MIR591	high
HSD17B12	high
OR10K1	high
LOC645949	high
LOC100131392	high
TRIM53AP	high
MIR4684	high
MIR551A	high
OR11L1	high
FGF3	high
MIR548K	high
LOC100506241	high
ZNF576	high
C2ORF29	high
OR10G9	high
LCE1F	high
OR10J3	high
MIR1246	high
CPS1-IT1	high
GPR149	high
MS4A8B	high
SNORD115-40	high
MIR4739	high
MIR4510	high
MIR2117	high
MIR1911	high
SSX3	high
LOC100507494	high
PGLS	high
LOC100505570	high
MIR3689E	high
EIF3J	high
SPRR4	high
OR4D10	high
OR1A2	high
NAALADL2-AS3	high
EDDM3B	high
HOXC13	high
SERPINB3	high
SNORD115-48	high
MIR617	high
MIR548W	high
MIR4772	high
MIR3973	high
MIR3123	high
MIR1468	high
LOC644277	high
HIST1H2AA	high
CLDN8	high
OR52N5	high
SMR3A	high
OR10G3	high
MIR1265	high
MIR4280	high
MIR128-2	high
OR6K3	high
TTTY7B	high
TTTY7	high
TRIM51GP	high
SNORD115-16	high
SNAR-D	high
PROL1	high
LSAMP-AS4	high
OR8H1	high
OR8B12	high
OR7G1	high
OR7D4	high
OR5V1	high
OR5H6	high
OR51B6	high
OR4X2	high
OR4F17	high
SKCG-1	high
OR4C11	high
OR4A47	high
OR2T27	high
OR2M7	high
OR2B3	high
OR1S2	high
MIR1245B	high
MIR1245A	high
MOS	high
MIR767	high
MIR764	high
MIR4773-2	high
MIR4773-1	high
MIR4759	high
OR6N1	high
MIR4693	high
OR2T34	high
TSPAN33	high
MIR4679-2	high
MIR4797	high
MIR4679-1	high
MIR4634	high
OR4M2	high
MIR4439	high
MIR4431	high
MIR4255	high
MIR4251	high
MIR411	high
MIR3922	high
MIR378G	high
MIR3529	high
MIR3118-5	high
MIR28	high
LOC100652823	high
MIR2114	high
MIR1587	high
MIR1537	high
MIR148A	high
MIR138-1	high
MIR1251	high
MIR1202	high
LOC400654	high
LOC286238	high
LOC100506542	high
LOC100505949	high
LINC00458	high
LCE2C	high
IL9	high
F9	high
CETN1	high
BPIFA3	high
ARPC3	high
CLEC2A	high
SMN1	high
MIR4686	high
GIF	high
TAAR6	high
PNKP	high
ORMDL2	high
DUX4L9	high
MOSPD1	high
FAM47A	high
PRRX2	high
MIR3162	high
SPINK14	high
C1QTNF8	high
SNORD81	high
SWI5	high
FTSJD1	high
PIGW	high
AMZ2	high
OR14I1	high
WASF1	high
SSX5	high
SSX8	high
SCARNA14	high
DCD	high
MS4A18	high
MIR181B1	high
SPATA31D1	high
LOC100287704	high
MIR140	high
LOC286370	high
LOC100506314	high
MIR365A	high
MIR484	high
OR2M3	high
LOC100506993	high
RP2	high
NPRL3	high
PRAMEF17	high
S100G	high
MIR4727	high
ZNF557	high
LGSN	high
IFNL2	high
SNAR-B2	high
SNAR-B1	high
MAGEB16	high
MIR4743	high
RD3L	high
USP1	high
GAGE12I	high
LOC648570	high
LYZL1	high
TEX36	high
COX7B2	high
TRIM43B	high
OR52N1	high
SNORA36C	high
MIR151B	high
TIFA	high
FAM162B	high
MIR548AG2	high
MIR3145	high
LGALS13	high
LOC100507363	high
SUMO2	high
KRTAP2-2	high
TTTY22	high
MIR3908	high
HCFC1	high
MIR1275	high
ZFP91	high
LOC283585	high
CEP112	high
MIR3130-2	high
MIR3130-1	high
PRKD3	high
MARCH11	high
KCNG3	high
KIAA1737	high
RPL4	high
RMST	high
SNORA35	high
LOC100506165	high
LINC00251	high
PRR19	high
MEX3C	high
SNORD115-32	high
LINC00261	high
MIR606	high
MIR4488	high
MIR4281	high
MEX3D	high
IRX5	high
GRIP2	high
TMEM101	high
TSFM	high
CPN1	high
CHODL-AS1	high
LINC00606	high
TMIGD1	high
MIR548H1	high
TRIM64C	high
GAGE12G	high
IL36G	high
AKR1D1	high
GH2	high
LOC732275	high
SNORD32B	high
MIR576	high
KLK7	high
FOXN1	high
H2AFB3	high
H2AFB1	high
LHX8	high
HIST1H4G	high
UBE2M	high
C7ORF72	high
POMC	high
COMMD10	high
OR52H1	high
HINT2	high
FGD1	high
SLAIN1	high
LOC100505827	high
PFKM	high
IVNS1ABP	high
C21ORF91	high
TAS2R39	high
LOC100506175	high
SPO11	high
CCDC94	high
HIST1H2BO	high
LINC00208	high
NDUFAF4	high
LOC100132078	high
SSTR5-AS1	high
ZNF416	high
KRT3	high
ENPP5	high
KRTAP26-1	high
SCGB3A2	high
YIPF4	high
LOC392288	high
BCL7C	high
VPS4A	high
SYCP1	high
LOC284294	high
LOC100509303	high
MIR29B1	high
IL36RN	high
MIR4270	high
MIR1273G	high
OR2A25	high
SAMM50	high
TBX6	high
DNAJC19	high
MIR3943	high
C16ORF95	high
NDUFB3	high
TSRM	high
TOP1P2	high
OR5B21	high
TM4SF5	high
GUCA2B	high
SNORD115-39	high
CXORF30	high
FAM175A	high
NOX3	high
MIR1183	high
LIPT2	high
MIR4274	high
OR2A2	high
KLK11	high
AGXT2	high
SNORD115-31	high
NSD1	high
TTLL8	high
MIR938	high
CRNN	high
SNORD115-23	high
GABRR3	high
CST5	high
TFF2	high
POU3F4	high
OR5D18	high
LOC100506853	high
MIR4306	high
COG8	high
LOC284385	high
RASL11B	high
MIR196B	high
LOC340357	high
SULF2	high
TRIB3	high
TEX28	high
LOC100506369	high
TMEM79	high
LOC100293612	high
MIR548AC	high
MIR575	high
KRTAP9-9	high
LOC100093698	high
MMGT1	high
LOC643441	high
ZNF502	high
SLC25A3P1	high
OR5A1	high
GCG	high
LOC100507109	high
MIR4288	high
LOC339760	high
SULT1C3	high
MIR4295	high
BPIFB3	high
MIR549	high
LOC727915	high
LOC100509378	high
MIR4670	high
DDOST	high
STATH	high
MIR4265	high
MIR1290	high
KRTAP12-4	high
KRTAP10-3	high
USP29	high
EIF2AK1	high
NNT	high
SPRR2B	high
MIR607	high
MIR4663	high
TMED11P	high
MIR3977	high
OR5AU1	high
MIR3691	high
MIR3689B	high
CAPZA3	high
LOC340113	high
RPL31P11	high
E2F2	high
TAAR3	high
MIR4802	high
SNORD126	high
MIR4483	high
SNORA70D	high
ETV1	high
MIR3134	high
OR4C3	high
MIR1200	high
MIR921	high
MIR759	high
MIR548A2	high
MIR539	high
MIR505	high
MIR4765	high
MIR4652	high
LOC100130815	high
MIR3689F	high
MIR3158-2	high
MIR3158-1	high
MIR3126	high
MIR1973	high
MIR152	high
LOC100505624	high
MIR1293	high
MIR1207	high
LOC650293	high
LOC100507930	high
LOC100506348	high
DOT1L	high
LOC100505782	high
LINC00705	high
LINC00343	high
LINC00083	high
KRTAP4-9	high
KLK12	high
SLC25A20	high
FER1L6-AS1	high
CYLC1	high
LINC00547	high
MIR3143	high
LOC100505948	high
OR14C36	high
MIR148B	high
OTOS	high
OR2H1	high
MIR3139	high
MIR4698	high
TFF1	high
KCNK16	high
SPINK1	high
FKBP10	high
LOC100653060	high
TRIM60	high
SGCZ	high
RNY1	high
LINC00837	high
DNAJB3	high
C20ORF78	high
CENPJ	high
USP26	high
MIRLET7C	high
LOC349160	high
SAMD12-AS1	high
TBC1D30	high
MIR2277	high
URB1	high
ZSWIM4	high
MIR1302-5	high
SUPT3H	high
PAFAH1B3	high
LOC100507481	high
MIR185	high
LOC440243	high
MIR4294	high
LOC100505940	high
SP9	high
FZD9	high
USP17L5	high
USP17L30	high
USP17L29	high
USP17L28	high
USP17L27	high
USP17L26	high
USP17L25	high
USP17L24	high
LDOC1	high
DHX8	high
LOC348761	high
MIR371B	high
MIR371A	high
LOC100506412	high
MIR4779	high
NOSIP	high
AFP	high
GAL	high
VWCE	high
TMEM81	high
PPP6R3	high
SLC35G4	high
EARS2	high
TMLHE-AS1	high
AAGAB	high
MIR4282	high
PAK1IP1	high
PHOSPHO2-KLHL23	high
KLHL23	high
WNT7A	high
ZW10	high
DNTTIP2	high
C1ORF51	high
TSSC1	high
DPP7	high
LOC100506418	high
SPR	high
USP17L7	high
SNORD56B	high
LOC440233	high
MIR296	high
DPPA2	high
UGT2B4	high
CNPY2	high
TRDN	high
OR51I1	high
SNORD115-8	high
TARM1	high
ARPC5L	high
KRTAP7-1	high
OR6S1	high
MSH3	high
MIR4531	high
ATP13A3	high
BPIFB2	high
MIR4692	high
MYF5	high
ZNF556	high
LOC100653275	high
LOC100506352	high
SNX25	high
ZDHHC12	high
MIR4260	high
DHPS	high
LOC728485	high
IAH1	high
C11ORF44	high
GAGE2C	high
SAMD1	high
MIR4669	high
MIR548I3	high
C10ORF99	high
SNORD115-44	high
SNW1	high
SPAG11B	high
KRTAP5-6	high
BMP6	high
OR52I2	high
LOC732265	high
LOC146513	high
CTBP1	high
MIR4801	high
TMEM180	high
MIR4732	high
MIR1910	high
IL21	high
MIR4735	high
EMC4	high
OR5B12	high
TMED9	high
RPL11	high
EXOC1	high
NHEG1	high
TUBD1	high
MIR4717	high
MEF2BNB-MEF2B	high
MIR548Z	high
MIR548C	high
KRT33B	high
DHX35	high
C6ORF47	high
DLX5	high
TRIM64B	high
LOC100288728	high
MIR548L	high
GPR87	high
LRRC3C	high
UGT2B11	high
LOC440288	high
XPNPEP3	high
UGT2B17	high
MIR3200	high
AIM1L	high
LOC100505989	high
LOC100653050	high
KRTAP13-4	high
ZC3H11A	high
MIR4718	high
LOC100506907	high
HIST1H2BL	high
TEX35	high
CNPY3	high
SHCBP1L	high
SNORD114-29	high
SNORD114-8	high
LOC100506083	high
OR52N2	high
TRIM51EP	high
OR2A12	high
CSNK2A1	high
LOC100507003	high
LOC100653059	high
HSP90AA4P	high
IL20	high
MIR455	high
OLIG3	high
FMO9P	high
SCGB2B3P	high
LOC150381	high
GSTTP1	high
MIR3919	high
MIR585	high
LOC100509490	high
PSMC3IP	high
OVOL2	high
TNP2	high
ZNF613	high
MIR193B	high
CEACAM5	high
TEX33	high
TTTY16	high
GAGE2D	high
MIR548E	high
CASP14	high
DARS	high
LECT2	high
EIF4E2	high
WFDC10A	high
LOC503519	high
SMR3B	high
HMGN4	high
MIR663B	high
MIR3150B	high
MIR3150A	high
MIR561	high
MSL2	high
OR8B8	high
LRRC37A5P	high
MIR566	high
MIR597	high
LOC100652782	high
MIR1294	high
MIR4487	high
CLK2P	high
MESP2	high
LOC100506675	high
NLRP8	high
KTN1	high
MIR32	high
MIR548J	high
MIR4499	high
MIR222	high
LOC400743	high
IQCF4	high
TBC1D1	high
LOC100652774	high
RPL7L1	high
MIR4419A	high
LINC00488	high
SLC17A2	high
MIR646	high
LOC100130964	high
SLC25A14	high
MGC34034	high
LOC100287612	high
LINC00710	high
PNLIPRP3	high
OR1C1	high
LYRM1	high
KRTAP4-12	high
DUSP12	high
MIR4310	high
LOC100505619	high
LCE1C	high
LOC100505645	high
TAAR5	high
SNORD115-37	high
OR4F5	high
MIR936	high
MIR5096	high
MIR4459	high
MIR1321	high
LOC100131107	high
CCDC172	high
MIR4803	high
C1ORF112	high
MIR4762	high
HTN1	high
CST4	high
OR10G4	high
LOC100126447	high
OSBPL11	high
COMMD2	high
LINC00421	high
LOC286114	high
PMPCA	high
MMS22L	high
LOC100505504	high
SNORD113-7	high
SAA3P	high
N4BP2	high
MAD2L1BP	high
LOC727896	high
CYP2A13	high
SERPINA4	high
IL22RA1	high
OR2L8	high
MIR2278	high
WFDC8	high
WBSCR22	high
SDHAF2	high
VWA9	high
TEX13A	high
PRRC1	high
TBC1D21	high
ASPSCR1	high
C21ORF90	high
PRAME	high
RNF138P1	high
LOC148145	high
CINP	high
GPR144	high
MIR624	high
SNORD114-15	high
NTMT1	high
MIR3146	high
CNFN	high
PSG11	high
MIR3935	high
LARS	high
PGLYRP3	high
PTH2	high
CCDC83	high
LOC100289673	high
LOC400620	high
RPS7P5	high
LOC100286922	high
DMRTC2	high
SNORD29	high
MIR609	high
MIR130B	high
EFTUD2	high
MIR3136	high
KIAA1586	high
GNAT3	high
LOC100508383	high
OR2Z1	high
MRPL10	high
MIR125A	high
SPTSSA	high
NYX	high
MIR326	high
DDX19B	high
GAGE2B	high
BPIFA2	high
STEAP1	high
OR2T2	high
DZANK1-AS1	high
LOC100507199	high
LOC100507484	high
DEGS1	high
MIR4706	high
MIR496	high
SERPINF1	high
KRT85	high
GPR1	high
WFDC5	high
MIR2909	high
PSMD14	high
FAM20B	high
SMG9	high
LOC93463	high
LOC100505695	high
LOC100505718	high
IQCF6	high
DDX46	high
LOC100506389	high
TSNAX	high
SLC25A16	high
NCRUPAR	high
EGF	high
OR10H5	high
TXNDC17	high
CYLC2	high
SEC14L3	high
MIR3155A	high
MIR1269B	high
TTC5	high
MIR769	high
C1ORF141	high
KRT78	high
